board,n_candidates,our_deeds,rival_deeds,our_full_groups,dev_level,houses_avail,our_cash,proposed,teacher_action,teacher_target,teacher_offer,teacher_request,teacher_offer_color,teacher_req_color,model_rank_of_teacher_choice,model_top_action,model_top_offer,model_top_request,model_top1_correct,seed
152,21,3,3,0,0,16,150,False,"sell_trade(player=1, prop=18, price=1.0x)",,,,,,,"exch_trade(player=1, offer=13, req=21)",13,21,False,770153
153,20,4,3,0,0,2,700,False,unmortgage(sq=8),,,,,,,"exch_trade(player=1, offer=3, req=23)",3,23,False,770154
154,15,5,3,0,0,16,2000,False,END_TURN,,,,,,,"exch_trade(player=1, offer=11, req=31)",11,31,False,770155
155,24,4,3,0,0,32,700,False,"buy_trade(player=1, prop=24, price=1.25x)",,,,,,,"exch_trade(player=1, offer=28, req=39)",28,39,False,770156
156,45,5,5,0,0,32,2000,False,unmortgage(sq=21),,,,,,,"exch_trade(player=0, offer=15, req=37)",15,37,False,770157
157,12,2,5,0,0,16,700,False,END_TURN,,,,,,,"exch_trade(player=2, offer=6, req=39)",6,39,False,770158
158,14,2,4,0,0,6,1200,False,unmortgage(sq=19),,,,,,,"exch_trade(player=0, offer=11, req=24)",11,24,False,770159
159,10,2,4,0,0,6,700,True,"exch_trade(player=0, offer=16, req=23)",1,16,23,orange,red,2,"exch_trade(player=1, offer=16, req=29)",16,29,False,770160
160,18,3,2,0,0,16,3500,False,"buy_trade(player=0, prop=11, price=1.0x)",,,,,,,"exch_trade(player=1, offer=9, req=37)",9,37,False,770161
161,8,2,2,0,0,2,150,False,END_TURN,,,,,,,"exch_trade(player=0, offer=18, req=37)",18,37,False,770162
162,21,3,4,0,0,6,400,True,"exch_trade(player=0, offer=24, req=34)",1,24,34,red,green,1,"exch_trade(player=0, offer=24, req=34)",24,34,True,770163
163,14,2,3,0,0,32,250,True,"exch_trade(player=2, offer=14, req=23)",3,14,23,pink,red,9,"exch_trade(player=1, offer=9, req=39)",9,39,False,770164
164,18,2,5,0,0,6,3500,True,"exch_trade(player=1, offer=5, req=21)",2,5,21,railroad,red,9,"exch_trade(player=1, offer=5, req=32)",5,32,False,770165
165,15,5,3,0,0,2,2000,False,unmortgage(sq=6),,,,,,,"exch_trade(player=1, offer=6, req=16)",6,16,False,770166
166,10,2,4,0,0,16,1200,False,unmortgage(sq=14),,,,,,,"exch_trade(player=2, offer=14, req=29)",14,29,False,770167
167,25,5,2,0,0,16,150,False,"sell_trade(player=0, prop=9, price=1.25x)",,,,,,,"exch_trade(player=2, offer=5, req=26)",5,26,False,770168
168,4,2,2,0,0,2,2000,False,END_TURN,,,,,,,"exch_trade(player=2, offer=3, req=19)",3,19,False,770169
169,12,3,2,0,0,32,250,True,"exch_trade(player=1, offer=27, req=32)",2,27,32,yellow,green,10,"exch_trade(player=2, offer=5, req=31)",5,31,False,770170
170,27,3,5,0,0,16,400,True,"exch_trade(player=0, offer=9, req=24)",1,9,24,lightblue,red,7,"exch_trade(player=2, offer=25, req=37)",25,37,False,770171
171,16,4,3,0,0,32,2000,False,unmortgage(sq=18),,,,,,,"exch_trade(player=1, offer=35, req=37)",35,37,False,770172
172,15,5,2,0,0,32,3500,True,"exch_trade(player=1, offer=18, req=9)",2,18,9,orange,lightblue,15,"exch_trade(player=0, offer=12, req=24)",12,24,False,770173
173,15,5,2,0,0,16,400,False,unmortgage(sq=16),,,,,,,"exch_trade(player=2, offer=25, req=32)",25,32,False,770174
174,35,5,4,0,0,32,3500,False,unmortgage(sq=16),,,,,,,"exch_trade(player=2, offer=3, req=39)",3,39,False,770175
175,6,3,2,0,0,6,1200,False,END_TURN,,,,,,,"exch_trade(player=2, offer=5, req=18)",5,18,False,770176
176,25,5,5,0,0,2,1200,False,unmortgage(sq=12),,,,,,,"exch_trade(player=1, offer=12, req=39)",12,39,False,770177
177,20,5,4,0,0,6,1200,False,unmortgage(sq=5),,,,,,,"exch_trade(player=1, offer=5, req=31)",5,31,False,770178
178,32,4,4,0,0,32,1200,True,"exch_trade(player=1, offer=18, req=31)",2,18,31,orange,green,12,"exch_trade(player=1, offer=3, req=31)",3,31,False,770179
179,18,3,2,0,0,32,250,True,"exch_trade(player=0, offer=14, req=35)",1,14,35,pink,railroad,8,"exch_trade(player=2, offer=14, req=34)",14,34,False,770180
180,15,5,2,1,0,6,1200,False,improve_house(sq=37),,,,,,,"exch_trade(player=0, offer=28, req=24)",28,24,False,770181
181,16,4,4,0,0,16,400,False,END_TURN,,,,,,,"exch_trade(player=0, offer=6, req=39)",6,39,False,770182
182,18,3,3,0,0,6,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=5, req=39)",5,39,False,770183
183,25,5,2,1,3,2,150,False,END_TURN,,,,,,,"exch_trade(player=1, offer=28, req=26)",28,26,False,770184
184,6,5,3,1,4,16,1200,False,improve_hotel(sq=6),,,,,,,"exch_trade(player=1, offer=14, req=31)",14,31,False,770185
185,18,3,2,0,0,32,1200,True,"exch_trade(player=2, offer=11, req=34)",3,11,34,pink,green,1,"exch_trade(player=2, offer=11, req=34)",11,34,True,770186
186,12,2,5,0,0,32,400,True,"exch_trade(player=0, offer=8, req=25)",1,8,25,lightblue,railroad,10,"exch_trade(player=1, offer=8, req=32)",8,32,False,770187
187,10,2,3,0,0,32,250,False,END_TURN,,,,,,,"exch_trade(player=0, offer=16, req=39)",16,39,False,770188
188,24,3,4,0,0,6,250,False,"sell_trade(player=0, prop=11, price=1.25x)",,,,,,,"exch_trade(player=2, offer=12, req=37)",12,37,False,770189
189,16,4,2,0,0,2,250,False,END_TURN,,,,,,,"exch_trade(player=1, offer=16, req=6)",16,6,False,770190
190,18,3,2,1,4,32,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=28, req=21)",28,21,False,770191
191,40,5,4,0,0,32,2000,False,unmortgage(sq=25),,,,,,,"exch_trade(player=1, offer=28, req=39)",28,39,False,770192
192,8,2,4,0,0,6,2000,False,"buy_trade(player=0, prop=6, price=0.75x)",,,,,,,"exch_trade(player=0, offer=35, req=6)",35,6,False,770193
193,20,4,4,0,0,32,150,False,END_TURN,,,,,,,"exch_trade(player=2, offer=35, req=39)",35,39,False,770194
194,32,4,5,0,0,16,400,True,"exch_trade(player=1, offer=13, req=31)",2,13,31,pink,green,9,"exch_trade(player=1, offer=28, req=31)",28,31,False,770195
